objid,ra,dec,u,g,r,petroR50_r,petroR90_r,fracDeV_r,deVAB_r,expAB_r,redshift,u_r,u_g,g_r,C_r,morphology,morph_colorcut
1237648702986191206,228.515581208081,-1.21193186567946,19.31755,17.64284,16.75572,2.058875,5.244336,0.2992646,0.3665357,0.4064738,0.05091307,2.5618300000000005,1.674710000000001,0.8871199999999995,2.547185234654848,spiral,elliptical
1237648703516246346,212.953923758717,-0.706862075159517,19.02558,17.73924,16.95303,3.253757,6.615323,0.05397208,0.7319868,0.7466143,0.1175562,2.0725500000000032,1.2863400000000027,0.7862100000000005,2.033133697445753,spiral,spiral
1237648702981800099,218.392922952716,-1.12186662942871,18.57212,17.3628,16.76653,3.252371,6.967002,0.0,0.9341888,0.9237337,0.08091062,1.8055900000000022,1.2093200000000017,0.5962700000000005,2.142130156737961,spiral,spiral
1237648704577929251,185.379361594865,0.0869115592375293,18.13147,17.3532,16.93616,1.606097,4.082895,0.9125936,0.7884555,0.7952556,0.1072231,1.1953099999999992,0.7782699999999991,0.4170400000000001,2.542122300209763,spiral,spiral
1237648704579895311,189.753225728919,0.124837446897283,18.83398,17.60006,16.87173,2.158652,5.397892,0.4996336,0.460449,0.5015752,0.07200869,1.962250000000001,1.2339200000000012,0.7283299999999997,2.500584624108008,spiral,spiral
1237648705133543772,228.181746777919,0.507175190452318,18.68642,17.16112,16.17371,4.700137,9.767612,0.8245862,0.8768185,0.8447432,0.1373313,2.5127099999999984,1.5252999999999979,0.9874100000000006,2.078154743148976,spiral,elliptical
1237648704591692042,216.833168861762,0.0998126500356716,18.99556,16.96548,16.33251,4.492686,9.054199,0.0126844,0.5903491,0.629765,0.08441756,2.663050000000002,2.0300800000000017,0.6329700000000003,2.015319788652045,spiral,elliptical
1237648703520309546,222.235024668839,-0.727207617417141,17.68816,16.49591,16.0479,6.395751,11.97595,0.3829815,0.591932,0.6154208,0.02807129,1.6402600000000014,1.1922500000000014,0.44801,1.8724853422217342,spiral,spiral
1237648703503663148,184.125380421636,-0.820688159484072,19.22015,17.46486,16.98387,2.496545,5.168492,0.0,0.5498754,0.5771883,0.06985381,2.2362800000000007,1.7552899999999987,0.480990000000002,2.0702578964128424,spiral,elliptical
1237648704047284236,199.492683646279,-0.314175008800297,16.24702,15.40807,15.23481,7.796126,18.40304,0.5131472,0.3644259,0.3696847,0.03387971,1.0122099999999996,0.8389499999999988,0.17326000000000086,2.360536502360275,spiral,spiral
1237648675068445173,242.568982923146,0.750119581867514,19.05989,17.49459,16.59285,3.694511,9.429327,0.0197867,0.2113334,0.2279664,0.04427702,2.467040000000001,1.5653000000000006,0.9017400000000002,2.552253058659184,spiral,elliptical
1237648704598835407,233.112485826023,0.0943022173403049,18.98329,17.30168,16.38205,3.323167,7.602686,0.1634614,0.4452807,0.4583306,0.1109121,2.6012400000000007,1.6816099999999992,0.9196300000000015,2.2877833103181393,spiral,elliptical
1237648703507071035,191.924204345635,-0.750411213803693,19.38806,17.73763,16.90716,2.582095,5.903777,0.6215703,0.7167264,0.7145377,0.1082598,2.4808999999999983,1.65043,0.8304699999999983,2.286429043083233,spiral,elliptical
1237648705137541215,237.255041962662,0.51239645672858,16.98948,15.8681,15.33698,9.364803,23.99014,0.8869889,0.6682932,0.7616884,0.03063598,1.6524999999999999,1.1213800000000003,0.5311199999999996,2.561734614171809,spiral,spiral
1237648705123516585,205.188823374973,0.630578233464863,19.30292,17.42396,16.38106,3.364052,7.562167,0.5433152,0.9177516,0.926018,0.1435117,2.921859999999999,1.8789599999999993,1.0428999999999995,2.2479340390695506,spiral,elliptical
